Ticker,Symbol,Quantity,Average Price
AARTIIND,AARTIIND24AUGFUT,1000,688.1
ABB,ABB24AUGFUT,125,7753.5
ABB,ABB24AUGFUT,125,7831.1
ABBOTINDIA,ABBOTINDIA24AUGFUT,20,28030.9
ABCAPITAL,ABCAPITAL24AUGFUT,5400,219.29
ABFRL,ABFRL24AUGFUT,2600,318.45
ADANIPORTS,ADANIPORTS24AUGFUT,400,1482.0
ALKEM,ALKEM24AUGFUT,100,5392.95
AMBUJACEM,AMBUJACEM24AUGFUT,900,690.55
APOLLOHOSP,APOLLOHOSP24AUGFUT,125,6441.4
APOLLOTYRE,APOLLOTYRE24AUGFUT,1700,525.0
ASHOKLEY,ASHOKLEY24AUGFUT,5000,231.89
ASTRAL,ASTRAL24AUGFUT,367,2276.4
ATUL,ATUL24AUGFUT,100,7206.95
AUROPHARMA,AUROPHARMA24AUGFUT,550,1364.3
AXISBANK,AXISBANK24AUGFUT,625,1294.475
BAJAJ-AUTO,BAJAJ-AUTO24AUGFUT,75,9454.9
BALKRISIND,BALKRISIND24AUGFUT,300,3195.7
BALRAMCHIN,BALRAMCHIN24AUGFUT,1600,446.0
BATAINDIA,BATAINDIA24AUGFUT,375,1536.8
BEL,BEL24AUGFUT,2850,312.8
BEL,BEL24AUGFUT,2850,308.8
BHARATFORG,BHARATFORG24AUGFUT,500,1612.0
BHARTIARTL,BHARTIARTL24AUGFUT,475,1473.6
BHEL,BHEL24AUGFUT,2625,305.5
BHEL,BHEL24AUGFUT,2625,305.15
BIOCON,BIOCON24AUGFUT,2500,339.9
BOSCHLTD,BOSCHLTD24AUGFUT,25,34812.025
BPCL,BPCL24AUGFUT,1800,315.9
BRITANNIA,BRITANNIA24AUGFUT,200,5800.5
CANFINHOME,CANFINHOME24AUGFUT,975,830.725
CHAMBLFERT,CHAMBLFERT24AUGFUT,1900,507.95
CHOLAFIN,CHOLAFIN24AUGFUT,625,1427.85
CIPLA,CIPLA24AUGFUT,650,1523.35
COALINDIA,COALINDIA24AUGFUT,2100,514.95
COFORGE,COFORGE24AUGFUT,150,5872.4
COLPAL,COLPAL24AUGFUT,350,3163.05
CONCOR,CONCOR24AUGFUT,1000,1015.9
COROMANDEL,COROMANDEL24AUGFUT,700,1580.85
CROMPTON,CROMPTON24AUGFUT,1800,433.6
CUB,CUB24AUGFUT,5000,161.52
CUMMINSIND,CUMMINSIND24AUGFUT,300,3740.775
DABUR,DABUR24AUGFUT,1250,639.45
DEEPAKNTR,DEEPAKNTR24AUGFUT,300,2826.4
DIVISLAB,DIVISLAB24AUGFUT,200,4603.55
DIXON,DIXON24AUGFUT,100,11310.4
DLF,DLF24AUGFUT,825,815.95
DRREDDY,DRREDDY24AUGFUT,125,6708.8
EICHERMOT,EICHERMOT24AUGFUT,175,4901.45
ESCORTS,ESCORTS24AUGFUT,275,4035.95
EXIDEIND,EXIDEIND24AUGFUT,1800,537.45
FEDERALBNK,FEDERALBNK24AUGFUT,5000,195.2
GAIL,GAIL24AUGFUT,4575,226.75
GLENMARK,GLENMARK24AUGFUT,725,1426.7
GMRINFRA,GMRINFRA24AUGFUT,11250,93.33
GODREJCP,GODREJCP24AUGFUT,500,1467.075
GODREJPROP,GODREJPROP24AUGFUT,225,3300.625
GRANULES,GRANULES24AUGFUT,2000,519.45
GRASIM,GRASIM24AUGFUT,250,2754.6
GUJGASLTD,GUJGASLTD24AUGFUT,1250,632.45
HAL,HAL24AUGFUT,300,4797.9
HAVELLS,HAVELLS24AUGFUT,500,1780.5
HCLTECH,HCLTECH24AUGFUT,350,1594.95
HDFCAMC,HDFCAMC24AUGFUT,150,4083.4
HDFCBANK,HDFCBANK24AUGFUT,550,1653.95
HDFCLIFE,HDFCLIFE24AUGFUT,1100,642.7
HEROMOTOCO,HEROMOTOCO24AUGFUT,150,5634.4
HINDALCO,HINDALCO24AUGFUT,1400,701.35
HINDCOPPER,HINDCOPPER24AUGFUT,2650,310.6
HINDPETRO,HINDPETRO24AUGFUT,2025,350.25
HINDUNILVR,HINDUNILVR24AUGFUT,300,2742.85
ICICIBANK,ICICIBANK24AUGFUT,700,1239.85
ICICIGI,ICICIGI24AUGFUT,500,1919.8
ICICIPRULI,ICICIPRULI24AUGFUT,1500,647.05
IDEA,IDEA24AUGFUT,40000,16.13
IEX,IEX24AUGFUT,3750,171.89
IGL,IGL24AUGFUT,1375,541.65
INDHOTEL,INDHOTEL24AUGFUT,1000,622.75
INDIACEM,INDIACEM24AUGFUT,2900,365.8
INDIAMART,INDIAMART24AUGFUT,300,2883.65
INDIGO,INDIGO24AUGFUT,300,4377.7
INDUSTOWER,INDUSTOWER24AUGFUT,3400,422.65
INFY,INFY24AUGFUT,400,1828.55
IOC,IOC24AUGFUT,4875,169.4
IPCALAB,IPCALAB24AUGFUT,650,1230.625
ITC,ITC24AUGFUT,1600,464.275
JINDALSTEL,JINDALSTEL24AUGFUT,625,954.775
JKCEMENT,JKCEMENT24AUGFUT,125,4455.1
JSWSTEEL,JSWSTEEL24AUGFUT,675,894.85
JUBLFOOD,JUBLFOOD24AUGFUT,1250,572.75
KOTAKBANK,KOTAKBANK24AUGFUT,400,1771.4
LALPATHLAB,LALPATHLAB24AUGFUT,300,3042.0
LAURUSLABS,LAURUSLABS24AUGFUT,1700,445.45
LICHSGFIN,LICHSGFIN24AUGFUT,1000,822.35
LT,LT24AUGFUT,150,3654.875
LTF,LTF24AUGFUT,4462,175.57
LTIM,LTIM24AUGFUT,150,5735.65
LUPIN,LUPIN24AUGFUT,425,1852.05
M&M,M&M24AUGFUT,350,2828.65
M&MFIN,M&MFIN24AUGFUT,2000,291.9
MANAPPURAM,MANAPPURAM24AUGFUT,3000,221.57
MARICO,MARICO24AUGFUT,1200,671.55
MARUTI,MARUTI24AUGFUT,50,12679.7
MCX,MCX24AUGFUT,200,3839.15
METROPOLIS,METROPOLIS24AUGFUT,400,2029.35
MFSL,MFSL24AUGFUT,800,1023.8
MGL,MGL24AUGFUT,400,1735.05
MOTHERSON,MOTHERSON24AUGFUT,7100,203.88
MPHASIS,MPHASIS24AUGFUT,275,2899.65
MRF,MRF24AUGFUT,5,130089.25
MUTHOOTFIN,MUTHOOTFIN24AUGFUT,550,1834.6
NATIONALUM,NATIONALUM24AUGFUT,3750,188.64
NAUKRI,NAUKRI24AUGFUT,150,6920.45
NAVINFLUOR,NAVINFLUOR24AUGFUT,175,3570.5
NTPC,NTPC24AUGFUT,1500,391.25
OBEROIRLTY,OBEROIRLTY24AUGFUT,700,1747.0
OFSS,OFSS24AUGFUT,100,11402.1
ONGC,ONGC24AUGFUT,1925,321.25
PAGEIND,PAGEIND24AUGFUT,15,40893.6
PEL,PEL24AUGFUT,750,946.6
PETRONET,PETRONET24AUGFUT,3000,340.9
PFC,PFC24AUGFUT,1300,538.15
PIDILITIND,PIDILITIND24AUGFUT,250,3142.75
PIIND,PIIND24AUGFUT,250,3989.55
POLYCAB,POLYCAB24AUGFUT,125,6271.75
POWERGRID,POWERGRID24AUGFUT,3600,336.9
PVRINOX,PVRINOX24AUGFUT,407,1537.55
RECLTD,RECLTD24AUGFUT,2000,615.35
RELIANCE,RELIANCE24AUGFUT,250,2976.75
SAIL,SAIL24AUGFUT,2000,144.74
SBILIFE,SBILIFE24AUGFUT,375,1603.9
SBIN,SBIN24AUGFUT,750,869.35
SHRIRAMFIN,SHRIRAMFIN24AUGFUT,300,2753.7
SIEMENS,SIEMENS24AUGFUT,150,6842.45
SUNPHARMA,SUNPHARMA24AUGFUT,350,1614.25
SUNTV,SUNTV24AUGFUT,1500,788.55
SYNGENE,SYNGENE24AUGFUT,1000,736.95
TATACOMM,TATACOMM24AUGFUT,500,1793.05
TATACONSUM,TATACONSUM24AUGFUT,450,1260.8
TATAMOTORS,TATAMOTORS24AUGFUT,550,1008.65
TATAPOWER,TATAPOWER24AUGFUT,1350,419.9
TATASTEEL,TATASTEEL24AUGFUT,5500,161.18
TCS,TCS24AUGFUT,175,4332.45
TECHM,TECHM24AUGFUT,600,1505.75
TORNTPHARM,TORNTPHARM24AUGFUT,250,3117.3
TRENT,TRENT24AUGFUT,200,5285.1
TVSMOTOR,TVSMOTOR24AUGFUT,350,2464.4
UBL,UBL24AUGFUT,400,2011.9
ULTRACEMCO,ULTRACEMCO24AUGFUT,100,11535.35
