Strategy,Position,Trade Price,Trade Time,Eval Time,Status
P5N30EMA1G,-105,48680.75,2024-05-29 10:21:17.951773,2024-05-29 10:21:17.951773,-1.0
P5N60MACD1G,-105,,,,
P560EMA2G,105,,,,
P5N30SMA2G,105,,,,
P5N30ST2G,-105,48830.0,2024-05-29 09:51:18.335820,2024-05-29 09:51:18.335820,-1.0
P5N60EMA6G,105,,,,
P5N60EMA3G,105,,,,
P5DSMA1G,105,,,,
P5N60ST1G,105,,,,
P5N60ST2G,105,,,,
P5DSMA2G,105,,,,
P5N60SMA5G,105,,,,
P5DSMA3G,105,,,,
P5N15EMA3N,-105,48588.35,2024-05-29 11:51:15.993294,2024-05-29 11:51:15.993294,-1.0
P5N60EMA1N,-105,48680.75,2024-05-29 10:21:19.212754,2024-05-29 10:21:19.212754,-1.0
P5N15ST7N,-105,48517.95,2024-05-29 14:51:16.195779,2024-05-29 14:51:16.195779,-1.0
P5N15ST8N,-105,48517.95,2024-05-29 14:51:17.694752,2024-05-29 14:51:17.694752,-1.0
P5N15ST4N,105,,,,
P5N30SMA4N,105,,,,
P560EMA1N,105,,,,
P560SMA1N,105,,,,
P5N60ST5N,105,,,,
P5NDEMA8N,105,,,,
P5NDSMA2N,105,,,,
P5NDST4N,105,49338.65,2024-05-29 09:16:13.618484,2024-05-29 09:16:13.618484,1.0
P5NDSMA6N,105,,,,
P5NDEMA12G,105,,,,
P5NDEMA13N,105,,,,
