Strategy,Position,Trade Price,Trade Time,Eval Time,Status
N15SMA3H,105,,,,
N30EMA1H,105,47892.65,2024-01-15 09:16:52.074711,2024-01-15 09:16:52.074711,1.0
N30SMA3H,105,48152.05,2024-01-15 09:46:51.430882,2024-01-15 09:46:51.430882,1.0
N30EMA2H,105,,,,
N60EMA5H,105,47892.65,2024-01-15 09:17:16.944126,2024-01-15 09:17:16.944126,1.0
NDEMA2H,105,47892.65,2024-01-15 09:16:02.065890,2024-01-15 09:16:02.065890,1.0
NDEMA9H,105,47892.65,2024-01-15 09:16:03.709855,2024-01-15 09:16:03.709855,1.0
N60SMA3H,-105,,,,
NDMACD1H,-105,,,,
NDSMA4H,105,47892.65,2024-01-15 09:16:00.201936,2024-01-15 09:16:00.201936,1.0
NDEMA3H,105,,,,
NDEMA13H,105,,,,
NDEMA5H,105,,,,
N15SMA2S,105,,,,
N15SMA1S,-105,48009.2,2024-01-15 10:01:27.148866,2024-01-15 10:01:27.148866,-1.0
N30SMA5S,-105,,,,
N30EMA6S,105,,,,
N15ST5S,105,48160.6,2024-01-15 09:31:30.723829,2024-01-15 09:31:30.723829,1.0
N60EMA4S,-105,,,,
N60SMA4S,-105,,,,
NDMACD2S,-105,,,,
N30ST4S,-105,,,,
N60SMA2S,105,,,,
NDST3S,-105,,,,
NDSMA4S,105,,,,
NDEMA10S,105,,,,
N30SMA1M,105,,,,
N30EMA5M,105,47892.65,2024-01-15 09:16:53.484681,2024-01-15 09:16:53.484681,1.0
N30SMA5M,-105,,,,
N30SMA3M,-105,,,,
N30ST1M,105,48152.05,2024-01-15 09:46:55.233838,2024-01-15 09:46:55.233838,1.0
N60SMA3M,-105,,,,
N60SMA6M,-105,,,,
NDSMA1M,-105,,,,
N30SMA6M,-105,,,,
NDEMA1M,105,,,,
N60SMA4M,105,,,,
NDST1M,105,,,,
N60SMA1M,105,,,,
N15EMA1G,105,,,,
N15SMA4G,-105,48009.2,2024-01-15 10:01:28.715887,2024-01-15 10:01:28.715887,-1.0
N60ST3G,-105,,,,
N30EMA4G,105,48152.05,2024-01-15 09:46:53.723859,2024-01-15 09:46:53.723859,1.0
N30EMA3G,105,,,,
N30SMA1G,-105,,,,
N60ST4G,-105,,,,
N30SMA2G,-105,,,,
NDEMA6G,-105,,,,
NDEMA4G,105,,,,
NDSMA3G,105,,,,
NDSMA7G,105,,,,
NDEMA2G,105,,,,
N5ST2N,105,,,,
N15ST2N,105,,,,
N15ST6N,105,48160.6,2024-01-15 09:31:32.447784,2024-01-15 09:31:32.447784,1.0
N15ST1N,105,48160.6,2024-01-15 09:31:28.521873,2024-01-15 09:31:28.521873,1.0
N30EMA2N,105,,,,
N60EMA2N,105,,,,
N60SMA2N,-105,,,,
N15SMA5N,-105,,,,
N30ST3N,-105,,,,
NDSMA5N,-105,,,,
NDST2N,-105,,,,
NDEMA1N,105,,,,
NDEMA7N,105,,,,
